date,line_no,station_no,get_on,get_off,등록일자
20210902,7호선,가산디지털단지,44184,44245,20210905
20210902,7호선,남구로,15355,16087,20210905
20210902,7호선,대림(구로구청),7364,7230,20210905
20210902,7호선,신풍,10946,10458,20210905
20210902,7호선,보라매,9312,9209,20210905
20210902,7호선,신대방삼거리,15541,14814,20210905
20210902,7호선,장승배기,8964,8792,20210905
20210902,7호선,상도,9719,9477,20210905
20210902,7호선,숭실대입구(살피재),10903,11092,20210905
20210902,7호선,남성,10406,9668,20210905
20210902,7호선,이수,14345,14013,20210905
20210902,7호선,내방,13637,13924,20210905
20210902,7호선,고속터미널,13013,11731,20210905
20210902,7호선,반포,5383,5141,20210905
20210902,7호선,논현,18681,20202,20210905
20210902,7호선,학동,22740,23847,20210905
20210902,7호선,강남구청,15477,16889,20210905
20210902,7호선,청담,17902,19583,20210905
20210902,7호선,뚝섬유원지,7754,7385,20210905
20210902,7호선,건대입구,10683,10838,20210905
20210902,7호선,어린이대공원(세종대),11016,10979,20210905
20210902,7호선,군자(능동),13595,11025,20210905
20210902,7호선,중곡,9383,8765,20210905
,,,,,
20210902,7호선,사가정,15361,15372,20210905
20210902,7호선,면목,14561,14277,20210905
20210902,7호선,상봉(시외버스터미널),15575,14761,20210905
20210902,7호선,중화,10321,10117,20210905
20210902,7호선,먹골,9472,9318,20210905
20210902,7호선,태릉입구,7787,7425,20210905
20210902,7호선,공릉(서울과학기술대),10674,10915,20210905
20210902,7호선,하계,16458,15610,20210905
20210902,7호선,중계,13474,12279,20210905
20210902,7호선,노원,17560,18730,20210905
20210902,7호선,마들,12029,11626,20210905
20210902,7호선,수락산,12129,12260,20210905
20210902,7호선,도봉산,8832,10294,20210905
20210902,7호선,장암,2138,879,20210905
20210902,6호선,봉화산(서울의료원),8441,7886,20210905
20210902,6호선,화랑대(서울여대입구),10639,8376,20210905
20210902,6호선,태릉입구,5091,5499,20210905
20210902,6호선,석계,11271,11604,20210905
20210902,6호선,돌곶이,8583,8126,20210905
20210902,6호선,상월곡(한국과학기술연구원),5886,5338,20210905
20210902,6호선,월곡(동덕여대),10566,10496,20210905
20210902,6호선,고려대(종암),7054,6731,20210905
20210902,6호선,안암(고대병원앞),9039,9014,20210905
20210902,6호선,보문,6758,6299,20210905
20210902,6호선,창신,3381,2719,20210905
20210902,6호선,동묘앞,7554,7555,20210905
20210902,6호선,신당,7845,8278,20210905
20210902,6호선,청구,3678,3838,20210905
20210902,6호선,약수,3516,3315,20210905
20210902,6호선,버티고개,1761,1912,20210905
20210902,6호선,한강진,6567,7462,20210905
20210902,6호선,이태원,7537,7967,20210905
20210902,6호선,녹사평(용산구청),4364,4328,20210905
20210902,6호선,삼각지,5462,4826,20210905
20210902,6호선,효창공원앞,6589,5854,20210905
